id,skills
91375242,big data
91375242,tableau
91375242,a/b test
91375242,sql
91377119,bi
91377119,jira
91377119,python
91377119,sql-запросы
91377119,sql
91524976,статистика
91524976,python
91524976,математическая статистика
91524976,hadoop
91524976,excel
91524976,sql
91524976,airflow
91524976,hive
91524976,spark
91556384,
91556384,python
91556384,математический анализ
91556384,аналитическое мышление
91556384,машинное обучение
91556384,fmcg продажи
91556384,sql
91556384,
91583978,writing articles
91583978,fluent english
91583978,data mining
91583978,information technology
91583978,public speaking
91583978,
91583978,research
91584010,writing articles
91584010,fluent english
91584010,data mining
91584010,information technology
91584010,public speaking
91584010,
91584010,research
91593205,pytorch
91593205,tensorflow
91593205,numpy
91593205,python
91593205,
91593205,llm
91593205,sklearn
91593205,git
91593205,nlp
91593215,pytorch
91593215,tensorflow
91593215,numpy
91593215,python
91593215,
91593215,llm
91593215,sklearn
91593215,git
91593215,nlp
91619937,1c: предприятие
91619937,сбор и анализ информации
91619937,excel
91619937,excel
91619937,работа с документами
91619937,работа с большим объемом информации
91619937,поиск информации в интернет
91619937,аналитическое мышление
91627448,
91627448,работа с большим объемом информации
91627448,аналитические исследования
91627448,автоматизация процессов
91627448,power bi
91627448,python
91627448,базы данных
91627448,power pivot
91627448,аналитическое мышление
91627448,big data
91627448,data analysis
91627448,excel
91627448,excel
91627448,vba
91627448,sql
91627448,работа с базами данных
91627448,power query
91646262,bi
91646262,power bi
91646262,ms sql
91646262,dwh
91646262,excel
91646671,python
91646671,sql
91646671,статистика
91646671,excel
91659763,
91659763,bi
91659763,аналитика
91659763,power bi
91659763,ms office
91659763,python
91659763,arendata
91659763,отчетность
91659763,hadoop
91659763,субд
91659763,план счетов
91659763,excel
91659763,корпоративное хранилище данных
91659763,sql
91659763,spark
91660884,dax
91660884,работа с базами данных
91660884,excel
91660884,excel
91660884,vba
91660884,sql
91660884,git
91660884,power query
91683411,crm
91683411,1с: торговля
91683411,excel
91683411,excel
91683411,1с: документооборот
91683411,1с: предприятие 8
91713199,управление командой
91713199,bi
91713199,информационные технологии
91713199,
91713199,python
91713199,аналитические способности
91713199,ms sql
91713199,clickhouse
91713199,google analytics
91713199,excel
91713199,sql
91713199,power query
91746374,
91746374,статистика
91746374,python
91746374,моделирование
91746374,субд
91746374,postgresql
91746374,git
91746374,sql
91746374,oracle
91751372,linux
91751372,etl
91751372,scala
91751372,английский язык
91751372,python
91751372,java
91751372,clickhouse
91751372,прогнозирование
91751372,dwh
91751372,api
91751372,sql
91751372,docker
91751372,airflow
91801447,pytorch
91801447,deep learning
91801447,python
91801447,llm
91801447,hadoop
91801447,docker
91801447,sql
91801447,git
91801447,airflow
91801447,nlp
91802463,
91802463,субд
91802463,dwh
91802463,sql
91802463,работа с базами данных
91826704,
91826704,аналитические исследования
91826704,etl
91826704,ms sql
91826704,анализ бизнес показателей
91826704,excel
91826704,excel
91826704,vba
91826704,аналитическое мышление
91826705,
91826705,аналитические исследования
91826705,etl
91826705,ms sql
91826705,анализ бизнес показателей
91826705,excel
91826705,excel
91826705,vba
91826705,аналитическое мышление
91896830,статистика
91896830,python
91896830,математическая статистика
91896830,методы оптимизации
91896830,c++
91898918,pandas
91898918,sql
91898918,python
91926890,bi
91926890,python
91926890,tableau
91926890,big data
91926890,excel
91926890,sql
91930826,аналитические исследования
91930826,python
91930826,ad hoc analysis
91930826,hadoop
91930826,data analysis
91930826,sql
91930826,spark
92015607,bi
92015607,статистика
92015607,numpy
92015607,python
92015607,pandas
92015607,математический анализ
92015607,hive
92015607,субд
92015607,excel
92015607,sql
92015607,oracle
92026129,power bi
92026129,ms sql
92026129,excel
92026129,excel
92026129,sql
92027948,etl
92027948,ms sql
92027948,powerpoint
92027948,dwh
92027948,деловая коммуникация
92027948,работа с большим объемом информации
92027948,sql
92071128,pytorch
92071128,linux
92071128,статистика
92071128,python
92071128,clickhouse
92071128,llm
92071128,docker
92071128,sql
92071128,git
92071128,nlp
92071128,tensorflow
92125824,
92125824,bi
92125824,power bi
92125824,python
92125824,бизнес-анализ
92125824,sql
92125824,airflow
92134600,bi
92134600,power bi
92134600,vertica
92134600,dwh
92134600,mpp
92134600,sql
92140555,статистика
92140555,numpy
92140555,python
92140555,pandas
92140555,clickhouse
92140555,hadoop
92140555,kafka
92140555,spark
92213157,sql
92213157,python
92276478,metabase
92276478,статистика
92276478,python
92276478,datalens
92276478,clickhouse
92276478,debezium
92276478,postgresql
92276478,sql
92276478,airflow
92279522,big data
92279522,sql
92279522,статистика
92279522,python
92281157,pytorch
92281157,linux
92281157,статистика
92281157,статистический анализ
92281157,python
92281157,английский язык
92281157,big data
92281157,
92281157,hadoop
92281157,
92281157,docker
92281157,sql
92281157,airflow
92281157,hive
92281157,spark
92282478,bi
92282478,etl
92282478,power bi
92282478,английский язык
92282478,hive
92282478,hadoop
92282478,tableau
92282478,sql
92282478,oracle
92282478,spark
92326609,numpy
92326609,английский язык
92326609,python
92326609,pandas
92326609,excel
92326609,sql
92326609,api
92347612,pytorch
92347612,linux
92347612,api
92347612,python
92347612,docker
92347612,git
92347612,nlp
92347612,tensorflow
92356628,bi
92356628,ms sql
92356628,dwh
92356628,postgresql
92356628,sql
92356628,oracle
92382370,powerpoint
92382370,sql
92382370,power bi
92382370,tableau
92397910,статистика
92397910,numpy
92397910,python
92397910,clickhouse
92397910,postgresql
92397910,a/b test
92397910,sql
92397910,airflow
92397930,статистика
92397930,numpy
92397930,python
92397930,clickhouse
92397930,postgresql
92397930,a/b test
92397930,sql
92397930,airflow
92398233,безопасность данных
92398233,python
92398233,базы данных
